002.轻型无人机，是指空机质量()A. 小于7kg	B. 大于7kg，小于116kg	C. 大于116kg，小于5700kg
055飞机转弯时，坡度有继续增大的倾向，原因是	A．转弯外侧阻力比内侧的大	B．转弯外侧升力比内侧的大	C．转弯外侧阻力比内侧的小
038无人机飞行员操纵方向舵时，飞机将绕	A．横轴的俯仰运动	B．纵轴的滚转运动	C．立轴的偏转运动
089高度增加，最佳爬升角速度（Vx）_____，最佳爬升率速度（Vy）_____。	A．增大，减小	B．减小，增大	C．增大，增大
086飞机的方向安定性过强，而横侧安定性相对过弱，飞机容易出现	A．飘摆（荷兰滚）	B．螺旋不稳定现象	C．转弯困难
079飞机迎角减小，压力中心的位置会		A．前移	B．后移	C．保持不变
040无人机飞行员向前推杆，飞机的迎角		A．增大	B．减小	C．先减小后增大
070飞机在地面效应区时，引起的气动力变化是	A．升力增大.阻力减小	B．升力减小.阻力增大	C．升力增大.阻力增大
056飞机坡度增大，升力的垂直分量	A．增大	B．减小	C．保持不变
069飞机离地面()高度时，地面效应的影响开始体现出来。	A．低于半个翼展	B．低于一个翼展	C．低于两个翼展
045用下滑有利速度下滑，飞机的	A．升阻比最大		B．升力最大	C．下滑角最大
496.下列哪项是飞行控制的方式之一。______	A.陀螺控制	B.指令控制	C.载荷控制	
154.下面哪个是梯形桨叶	A. 	B. 	C. 	
066飞机发生螺旋现象的原因是	A．飞行员方向舵操纵不当	B．飞行员压盘过多	C．飞机失速后机翼自转
564.无人机左侧风中起飞，侧风有使飞机机头向偏转的趋势	A.左	B.右	C.视风速的大小不同可能向左也可能向右	
085飞机的横侧安定性有助于		A．使机翼恢复到水平状态	B．使飞机保持航向	C．使飞机保持迎角
307.在卫星云图上，可见光云图的色调取决于：	A.目标反射太阳辐射的大小	B.目标的温度	C.目标的高低	
223.飞机在比标准大气冷的空气中飞行时，气压高度表所示高度将比实际飞行高度：	A.相同	B.低	C.高	
081常规布局的飞机，机翼升力对飞机重心的力矩常为使飞机机头的力矩_____。	A．上仰	B．下俯	C．偏转
027不属于无人机回收方式的是	A．伞降	B．飘落	C．气囊回收
540飞行手册中规定着陆不能刹车状态接地，主要是因为	A.可能使刹车装置失效	B.可能导致滑跑时拖胎	C.使机轮起转力矩增大而损坏	
451.______即根据既定任务，结合环境限制与飞行约束条件，从整体上制定最优参考路径并装订特殊任务。	A.在线规划	B.飞行中重规划	C.飞行前预规划	
200.关于直升机贴地飞行正确的是	A.直升机近地飞行时，飞行高度约为5-10米，飞行速度通常不大于10公里/小时。	B.直升机近地飞行时，飞行高度约为1-10米，飞行速度通常不大于10公里/小时。	C.直升机近地飞行时，飞行高度约为1-10米，飞行速度通常不大于20公里/小时。	
102.下列哪些是正确的?	A.牛顿第三运动定律表明，要获得给定加速度所施加的力的大小取决于无人机的质量。	B.牛顿第二运动定律表明作用力和反作用力是大小相等方向相反的。	C.如果一个物体处于平衡状态，那么它就有保持这种平衡状态的趋势。	
222.飞机按气压式高度表指示的一定高度飞行，在飞向低压区时，飞机的实际高度将：	A.保持不变	B.逐渐升高	C.逐渐降低	
142.共轴式直升机的纵横向操纵是操纵何处得以实现的：	A.下旋翼自动倾斜器的不动环	B.下旋翼自动倾斜器的可动环	C.上旋翼自动倾斜器的可动环	
408对飞行教员合格证申请人的知识要求为	A.教学原理，所申请飞行教员合格证航空器类别的驾驶员.驾驶员机长合格证要求的航空知识，及所申请飞行教员合格证等级要求的航空知识	B.教学原理，所申请飞行教员合格证航空器类别的驾驶员.商用和航线驾驶员执照要求的航空知识，及所申请飞行教员执照航空器类别的仪表等级要求的航空知识	C.教学原理，所申请飞行教员执照航空器类别的私用.商用和航线驾驶员执照要求的航空知识	
179.下图中为H4X控制型式的是	A. B. C. 	
005不属于无人机机型的是()A.塞纳斯	B.侦察兵	C.捕食者
399.执行昼间专业任务的航空器,在平原.丘陵地区进行作业飞行时,	起飞时间最早不得早于日出前	A.10分钟	B.20分钟	C.30分钟	
056飞机坡度增大，升力的垂直分量	A．增大	B．减小	C．保持不变
032对于带襟翼无人机，放下襟翼，飞机的失速速度将()	A．增大	B．减小	C．不变
122.下面说法错误的是	A.滑翔状态，一个较大的下滑角会导致一个很大的重力分量	B.在俯冲状态中，飞行轨迹可以达到完全垂直向下	C.在爬升状态中，要想爬升得更陡和更快就必须有强大的推力，机翼的作用是主要的	
395.执行昼间专业任务的航空器,在山区进行作业飞行时,着陆时间最	晚不得晚于日落前	A.10分钟	B.15分钟	C.20分钟	
357.在融合空域运行的大型无人机机长，应至少持有	A.航线运输执照	B.商照	C.商照和仪表等级	
350.大型无人机是指	A.空机质量大于5，700千克的无人机	B.质量大于5，700千克的无人机	C.空机质量大于等于5，700千克的无人机	
375.飞行的安全高度是避免航空器与地面障碍物相撞的	A.航图网格最低飞行高度	B.最低飞行安全高度	C.最低飞行高度	
423.无人机任务规划需要考虑的因素有：______，______，无人机物理限制，实时性要求	A.飞行环境限制，飞行任务要求	B.飞行任务范围，飞行安全限制	C.飞行安全限制，飞行任务要求	
038无人机飞行员操纵方向舵时，飞机将绕	A．横轴的俯仰运动	B．纵轴的滚转运动	C．立轴的偏转运动
376.飞行高度层应当根据______配备	A.航线或航路走向.航空器性能.飞行区域以及航线的地形.天气和飞行情况等	B.飞行任务的性质.航空器等级.飞行区域以及航线的地形.天气和飞行情况等	C.飞行任务的性质.航空器性能.飞行区域以及航线的地形.天气和飞行情况等	
